,Player,Link,StartYear,EndYear,Position,Tenure,Height,Weight,Birthday,All_Star_apps,All_NBA_apps,All_Def_apps,HOF,Games,PPG,TRPG,APG,FG_pct,3_pt_pct,FT_pct,eFG_pct,PER,WS,Avg Games Played,> Avg Games
163,Roger Brown,/players/b/brownro02.html,1973,1980,C,7,211,102,1950-02-23,1,0,0,0,239,2.4,3.5,0.5,40.6,100.0,62.4,40.8,8.7,2.3,34.142857142857146,0
164,Shannon Brown,/players/b/brownsh01.html,2007,2015,G,8,193,92,1985-11-29,0,0,0,0,408,7.6,1.9,1.1,42.0,33.2,80.7,46.8,12.4,9.2,51.0,0
165,Tony Brown,/players/b/brownto01.html,1985,1992,FG,7,198,83,1960-07-29,0,0,0,0,360,6.0,2.1,1.6,43.7,25.9,71.9,44.6,9.9,4.9,51.42857142857143,0
166,Rick Brunson,/players/b/brunsri01.html,1998,2006,G,8,193,86,1972-06-14,0,0,0,0,337,3.2,1.3,2.6,37.8,36.2,69.3,42.6,10.7,3.6,42.125,0
168,Joe Bryant,/players/b/bryanjo01.html,1976,1983,FC,7,206,83,1954-10-19,0,0,0,0,606,8.7,4.0,1.7,45.0,20.0,74.3,45.3,12.2,12.9,86.57142857142857,1
169,Kobe Bryant,/players/b/bryanko01.html,1997,2016,GF,19,198,96,1978-08-23,18,15,12,Hall of Fame,1346,25.0,5.2,4.7,44.7,32.9,83.7,48.2,22.9,172.7,70.84210526315789,1
170,Mark Bryant,/players/b/bryanma01.html,1989,2003,FC,14,206,111,1965-04-25,0,0,0,0,797,5.4,3.8,0.6,50.0,8.3,69.7,50.0,10.9,26.1,56.92857142857143,0
171,Greg Buckner,/players/b/buckngr01.html,2000,2009,G,9,193,95,1976-09-16,0,0,0,0,570,5.0,2.8,1.3,45.0,33.4,75.7,49.8,10.7,20.9,63.333333333333336,1
172,Quinn Buckner,/players/b/bucknqu01.html,1977,1986,G,9,190,86,1954-08-20,0,0,4,0,719,8.2,2.7,4.3,46.1,18.4,65.7,46.1,13.4,24.7,79.88888888888889,1
173,Chase Budinger,/players/b/budinch01.html,2010,2016,F,6,201,94,1988-05-22,0,0,0,0,407,7.9,3.0,1.2,43.0,35.2,79.7,50.4,13.0,13.9,67.83333333333333,1
174,Jud Buechler,/players/b/buechju01.html,1991,2002,FG,11,198,99,1968-06-19,0,0,0,0,720,3.3,1.8,0.8,43.3,36.6,63.3,49.2,11.2,16.5,65.45454545454545,1
175,Rodney Buford,/players/b/buforro01.html,2000,2005,GF,5,196,85,1977-11-02,0,0,0,0,230,6.4,2.6,0.8,41.2,30.0,75.8,43.6,10.0,2.9,46.0,0
176,Matt Bullard,/players/b/bullama01.html,1991,2002,F,11,208,97,1967-06-05,0,0,0,0,615,5.3,2.0,0.9,41.8,38.4,76.8,52.1,11.9,16.8,55.90909090909091,0
177,Tom Burleson,/players/b/burleto01.html,1975,1981,C,6,218,102,1952-02-24,0,0,0,0,446,9.4,6.3,1.3,44.5,0.0,72.6,44.5,16.1,22.9,74.33333333333333,1
178,Scott Burrell,/players/b/burresc01.html,1994,2001,GF,7,201,98,1971-01-12,0,0,0,0,383,6.9,3.5,1.4,41.8,37.3,72.3,49.1,13.5,16.4,54.714285714285715,0
179,Willie Burton,/players/b/burtowi01.html,1991,1999,FG,8,203,95,1968-05-26,0,0,0,0,316,10.3,2.9,1.2,42.4,34.5,78.6,45.2,12.7,9.1,39.5,0
180,Steve Burtt,/players/b/burttst01.html,1985,1993,G,8,188,83,1962-11-05,0,0,0,0,101,5.8,0.9,1.2,42.6,14.3,69.5,42.8,10.4,0.0,12.625,0
181,Don Buse,/players/b/busedo01.html,1973,1985,G,12,193,86,1950-08-10,2,0,6,0,966,7.1,2.7,4.6,44.0,33.0,77.9,46.5,13.1,57.1,80.5,1
182,Caron Butler,/players/b/butleca01.html,2003,2016,F,13,201,103,1980-03-13,2,0,0,0,881,14.1,5.0,2.3,43.4,34.8,84.7,46.9,15.0,50.9,67.76923076923077,1
183,Mitchell Butler,/players/b/butlemi02.html,1994,2004,GF,10,196,95,1970-12-15,0,0,0,0,362,5.2,2.0,0.9,43.8,30.4,62.3,46.8,10.2,3.1,36.2,0
184,Rasual Butler,/players/b/butlera01.html,2003,2016,FG,13,201,97,1979-05-23,0,0,0,0,809,7.5,2.4,0.8,40.3,36.2,74.7,48.3,10.6,20.8,62.23076923076923,1
185,Andrew Bynum,/players/b/bynuman01.html,2006,2014,C,8,213,129,1987-10-27,1,0,0,0,418,11.5,7.7,1.2,55.6,11.1,69.0,55.6,19.6,37.4,52.25,0
186,Will Bynum,/players/b/bynumwi01.html,2006,2015,G,9,183,83,1983-01-04,0,0,0,0,360,8.1,1.6,3.3,44.2,27.2,79.9,45.8,14.6,7.0,40.0,0
188,Jason Caffey,/players/c/caffeja01.html,1996,2003,F,7,203,115,1973-06-12,0,0,0,0,462,7.3,4.4,0.9,48.1,0.0,63.7,48.1,12.5,13.5,66.0,1
189,Michael Cage,/players/c/cagemi01.html,1985,2000,FC,15,206,101,1962-01-28,0,0,0,0,1140,7.3,7.6,0.9,51.5,0.0,66.4,51.5,13.9,74.4,76.0,1
190,Adrian Caldwell,/players/c/caldwad01.html,1990,1998,FC,8,203,120,1966-07-04,0,0,0,0,197,2.0,2.5,0.2,48.5,0.0,45.3,48.5,8.7,1.1,24.625,0
191,Joe Caldwell,/players/c/caldwjo01.html,1965,1975,FG,10,196,88,1941-11-01,4,0,2,0,782,16.1,5.3,3.4,46.6,22.5,57.2,46.7,14.7,37.8,78.2,1
193,Corky Calhoun,/players/c/calhoco01.html,1973,1980,F,7,201,95,1950-11-01,0,0,0,0,542,5.3,3.6,1.1,46.0,-,78.2,46.0,9.3,14.4,77.42857142857143,1
194,Mack Calvin,/players/c/calvima01.html,1970,1981,G,11,183,74,1947-07-27,5,0,0,0,755,16.1,2.5,4.8,44.7,24.5,86.3,45.1,17.4,60.4,68.63636363636364,1
195,Marcus Camby,/players/c/cambyma01.html,1997,2013,CF,16,211,99,1974-03-22,0,0,4,0,973,9.5,9.8,1.9,46.6,20.5,67.0,46.8,17.8,81.6,60.8125,0
196,Elden Campbell,/players/c/campbel01.html,1991,2005,C,14,211,97,1968-07-23,0,0,0,0,1044,10.3,5.9,1.1,46.0,5.4,69.9,46.0,15.9,62.8,74.57142857142857,1
197,Tony Campbell,/players/c/campbto01.html,1985,1995,FG,10,201,97,1962-05-07,0,0,0,0,690,11.6,3.1,1.5,45.6,25.4,79.0,46.0,14.5,20.7,69.0,1
198,Brian Cardinal,/players/c/cardibr01.html,2001,2012,F,11,203,111,1977-05-02,0,0,0,0,456,4.6,2.3,1.0,40.8,37.2,86.1,48.2,12.7,15.4,41.45454545454545,0
199,Rick Carlisle,/players/c/carliri01.html,1985,1990,G,5,196,95,1959-10-27,0,0,0,0,188,2.2,0.8,1.1,42.2,22.9,77.5,43.5,7.0,0.5,37.6,0
200,Antoine Carr,/players/c/carran01.html,1985,2000,FC,15,206,102,1961-07-23,0,0,0,0,987,9.3,3.4,1.1,50.3,13.0,78.0,50.3,14.2,42.1,65.8,1
201,Austin Carr,/players/c/carrau01.html,1972,1981,G,9,193,90,1948-03-10,1,0,0,0,682,15.4,2.9,2.8,44.9,15.4,80.4,44.9,15.0,32.9,75.77777777777777,1
202,Chris Carr,/players/c/carrch01.html,1996,2001,G,5,196,93,1974-03-12,0,0,0,0,297,6.7,2.2,1.0,41.6,33.8,80.7,46.2,11.9,3.9,59.4,0
203,Kenny Carr,/players/c/carrke01.html,1978,1987,F,9,201,99,1955-08-15,0,0,0,0,674,11.6,7.4,1.4,51.0,7.9,68.4,51.0,14.7,33.6,74.88888888888889,1
204,M.L. Carr,/players/c/carrml01.html,1976,1985,FG,9,198,92,1951-01-09,0,0,0,0,678,10.0,4.5,2.0,47.2,27.5,73.7,47.6,14.0,33.5,75.33333333333333,1
205,Darel Carrier,/players/c/carrida01.html,1968,1973,G,5,190,83,1940-10-26,3,0,0,0,350,20.0,3.4,2.6,41.7,37.7,85.1,45.1,15.6,30.5,70.0,1
206,Joe Barry Carroll,/players/c/carrojo01.html,1981,1991,CF,10,213,102,1958-07-24,1,0,0,0,705,17.7,7.7,1.8,47.4,0.0,74.7,47.4,16.4,35.6,70.5,1
207,Matt Carroll,/players/c/carroma01.html,2004,2013,G,9,198,96,1980-08-28,0,0,0,0,459,6.6,1.9,0.7,41.3,38.4,84.1,48.2,11.6,10.7,51.0,0
208,Anthony Carter,/players/c/cartean01.html,2000,2012,G,12,185,86,1975-06-16,0,0,0,0,623,4.8,2.1,3.8,40.4,25.0,70.6,42.3,10.8,10.4,51.916666666666664,0
209,Butch Carter,/players/c/cartebu01.html,1981,1986,G,5,196,81,1958-06-11,0,0,0,0,361,8.7,1.5,1.9,47.5,30.7,78.8,48.5,12.7,8.5,72.2,1
211,George Carter,/players/c/cartege01.html,1968,1976,FG,8,193,95,1944-01-10,1,0,0,0,479,18.1,6.8,2.0,44.5,30.1,81.3,44.9,15.1,24.3,59.875,0
212,Bill Cartwright,/players/c/cartwbi01.html,1980,1995,C,15,216,111,1957-07-30,1,0,0,0,963,13.2,6.3,1.4,52.5,0.0,77.1,52.5,15.2,72.8,64.2,1
213,Sam Cassell,/players/c/cassesa01.html,1994,2008,G,14,190,83,1969-11-18,1,0,0,0,993,15.7,3.2,6.0,45.4,33.1,86.1,48.0,19.5,87.5,70.92857142857143,1
214,Harvey Catchings,/players/c/catchha01.html,1975,1985,CF,10,206,98,1951-09-02,0,0,0,0,725,3.2,5.0,0.8,43.5,0.0,64.7,43.5,9.6,21.2,72.5,1
215,Terry Catledge,/players/c/catlete01.html,1986,1993,F,7,203,99,1963-08-22,0,0,0,0,515,12.7,6.4,0.9,48.5,9.4,65.4,48.5,14.1,20.9,73.57142857142857,1
216,Kelvin Cato,/players/c/catoke01.html,1998,2007,C,9,211,115,1974-08-26,0,0,0,0,541,5.5,5.3,0.5,50.7,7.7,64.4,50.7,14.4,28.6,60.111111111111114,0
217,Duane Causwell,/players/c/causwdu01.html,1991,2001,C,10,213,108,1968-05-31,0,0,0,0,541,4.9,4.2,0.4,50.7,28.6,61.8,50.8,11.7,15.8,54.1,0
218,Cedric Ceballos,/players/c/cebalce01.html,1991,2001,F,10,198,86,1969-08-02,1,0,0,0,609,14.3,5.3,1.2,50.0,30.9,75.3,51.8,19.3,40.4,60.9,0
220,Jerry Chambers,/players/c/chambje01.html,1967,1974,F,7,196,83,1943-07-18,0,0,0,0,320,8.3,3.2,0.8,44.0,20.0,77.4,44.0,13.2,5.2,45.714285714285715,0
221,Tom Chambers,/players/c/chambto01.html,1982,1998,FC,16,208,99,1959-06-21,4,2,0,0,1107,18.1,6.1,2.1,46.8,30.7,80.7,47.6,16.5,79.0,69.1875,1
222,Don Chaney,/players/c/chanedo01.html,1969,1980,G,11,196,95,1946-03-22,0,0,5,0,790,8.4,4.0,2.2,43.6,20.0,77.6,43.7,11.6,36.3,71.81818181818181,1
223,Rex Chapman,/players/c/chapmre01.html,1989,2000,G,11,193,83,1967-10-05,0,0,0,0,666,14.6,2.5,2.7,43.0,35.0,80.0,47.7,13.9,24.7,60.54545454545455,0
224,Len Chappell,/players/c/chapple01.html,1963,1972,FC,9,203,108,1941-01-31,1,0,0,0,670,9.3,5.1,0.8,45.2,-,69.7,45.2,15.6,21.9,74.44444444444444,1
225,Calbert Cheaney,/players/c/cheanca01.html,1994,2006,GF,12,201,94,1971-07-17,0,0,0,0,825,9.5,3.2,1.7,46.6,29.8,69.1,48.0,11.0,23.1,68.75,1
226,Maurice Cheeks,/players/c/cheekma01.html,1979,1993,G,14,185,81,1956-09-08,4,0,5,Hall of Fame,1101,11.1,2.8,6.7,52.3,25.5,79.3,52.6,16.5,103.5,78.64285714285714,1
227,Phil Chenier,/players/c/cheniph01.html,1972,1981,G,9,190,81,1950-10-30,3,0,0,0,578,17.2,3.6,3.0,44.4,40.0,80.6,44.5,15.3,39.3,64.22222222222223,1
228,Pete Chilcutt,/players/c/chilcpe01.html,1992,2000,FC,8,208,104,1968-09-14,0,0,0,0,584,4.3,3.3,0.8,44.1,38.1,69.6,48.1,11.9,10.6,73.0,1
229,Josh Childress,/players/c/childjo01.html,2005,2014,GF,9,203,95,1983-06-20,0,0,0,0,391,9.1,4.7,1.6,52.2,32.9,77.9,54.2,15.6,25.7,43.44444444444444,0
230,Chris Childs,/players/c/childch01.html,1995,2003,G,8,190,88,1967-11-20,0,0,0,0,541,6.9,2.4,4.9,40.3,34.4,81.6,46.1,11.2,22.9,67.625,1
231,Jim Chones,/players/c/choneji01.html,1973,1982,CF,9,211,99,1949-11-30,0,0,0,0,788,12.5,8.2,1.6,47.8,0.0,68.0,47.8,13.9,45.8,87.55555555555556,1
232,Doug Christie,/players/c/chrisdo01.html,1993,2007,GF,14,198,90,1970-05-09,0,0,4,0,827,11.2,4.1,3.6,42.6,35.4,82.1,47.9,14.6,55.7,59.07142857142857,0
234,Earl Clark,/players/c/clarkea01.html,2010,2015,F,5,208,102,1988-01-17,0,0,0,0,261,4.4,3.0,0.5,40.3,32.8,66.4,43.9,10.2,2.9,52.2,0
235,Keon Clark,/players/c/clarkke01.html,1999,2004,FC,5,211,99,1975-04-16,0,0,0,0,353,8.2,5.9,0.9,50.0,5.3,64.5,50.0,15.4,18.2,70.6,1
236,Speedy Claxton,/players/c/claxtsp01.html,2002,2009,G,7,180,75,1978-05-08,0,0,0,0,334,9.3,2.5,4.3,40.9,19.3,76.2,41.7,14.5,14.2,47.714285714285715,0
237,Jim Cleamons,/players/c/cleamji01.html,1972,1980,G,8,190,83,1949-09-13,0,0,0,0,652,8.3,3.0,3.9,46.0,22.6,76.5,46.1,12.6,29.1,81.5,1
238,Mateen Cleaves,/players/c/cleavma01.html,2001,2006,G,5,188,92,1977-09-07,0,0,0,0,167,3.6,1.0,1.9,38.9,26.7,72.8,39.9,8.5,-0.8,33.4,0
241,John Coker,/players/c/cokerjo01.html,1996,2001,C,5,213,114,1971-10-28,0,0,0,0,25,1.6,1.2,0.1,40.9,-,83.3,40.9,8.9,0.1,5.0,0
242,Ben Coleman,/players/c/colembe01.html,1987,1994,F,7,206,106,1961-11-14,0,0,0,0,227,6.6,4.1,0.6,51.6,0.0,75.9,51.6,12.3,5.0,32.42857142857143,0
243,Derrick Coleman,/players/c/colemde01.html,1991,2005,F,14,208,104,1967-06-21,1,2,0,0,781,16.5,9.3,2.5,44.7,29.5,76.9,46.2,18.0,64.3,55.785714285714285,0
246,Bimbo Coles,/players/c/colesbi01.html,1991,2004,G,13,185,81,1968-04-22,0,0,0,0,852,7.8,2.1,3.9,42.5,26.7,81.1,44.7,12.1,27.4,65.53846153846153,1
247,Don Collins,/players/c/collido02.html,1981,1987,FG,6,198,86,1958-11-28,0,0,0,0,303,9.8,2.8,1.8,48.5,6.9,74.9,48.5,14.5,10.5,50.5,0
248,Doug Collins,/players/c/collido01.html,1974,1981,GF,7,198,81,1951-07-28,4,0,0,0,415,17.9,3.2,3.3,50.1,0.0,83.3,50.1,16.1,38.0,59.285714285714285,0
249,Jarron Collins,/players/c/collija03.html,2002,2011,FC,9,211,115,1978-12-02,0,0,0,0,542,3.9,2.9,0.8,45.5,0.0,69.9,45.5,9.4,15.7,60.22222222222222,0
250,Jason Collins,/players/c/collija04.html,2002,2014,C,12,213,115,1978-12-02,0,0,0,0,735,3.6,3.7,0.9,41.1,20.6,64.7,41.2,7.0,20.1,61.25,1
251,Steve Colter,/players/c/coltest01.html,1985,1995,G,10,190,74,1962-07-24,0,0,0,0,526,6.3,2.0,2.8,44.8,28.9,77.8,46.1,12.9,17.3,52.6,0
252,Glen Combs,/players/c/combsgl01.html,1969,1975,G,6,188,83,1946-10-30,3,0,0,0,465,16.5,2.6,3.5,43.3,36.7,81.0,47.4,14.2,34.3,77.5,1
255,Marty Conlon,/players/c/conloma01.html,1992,2000,FC,8,208,101,1968-01-19,0,0,0,0,379,6.5,3.5,1.0,49.8,20.0,73.5,50.2,13.2,8.9,47.375,0
256,Lester Conner,/players/c/connele01.html,1983,1995,G,12,193,81,1959-09-17,0,0,0,0,687,6.3,2.7,3.9,45.3,20.2,75.3,45.6,14.1,28.6,57.25,0
257,Will Conroy,/players/c/conrowi01.html,2007,2013,G,6,188,88,1982-12-08,0,0,0,0,16,0.4,0.7,1.0,13.6,0.0,12.5,13.6,-3.1,-0.4,2.6666666666666665,0
258,Anthony Cook,/players/c/cookan01.html,1991,1996,FC,5,206,92,1967-03-19,0,0,0,0,116,3.6,3.7,0.3,43.9,0.0,52.4,43.9,11.0,1.0,23.2,0
259,Brian Cook,/players/c/cookbr01.html,2004,2012,F,8,206,106,1980-12-04,0,0,0,0,421,5.5,2.6,0.6,43.9,38.2,78.3,50.2,13.1,10.2,52.625,0
260,Daequan Cook,/players/c/cookda02.html,2008,2013,G,5,196,92,1987-04-28,0,0,0,0,328,6.4,2.1,0.7,36.9,35.9,81.3,47.6,9.1,4.9,65.6,1
261,Darwin Cook,/players/c/cookda01.html,1981,1989,G,8,190,83,1958-08-06,0,0,0,0,612,9.5,2.1,3.7,45.3,19.6,76.4,45.8,13.8,22.9,76.5,1
262,Jeff Cook,/players/c/cookje01.html,1980,1988,FC,8,208,97,1956-10-21,0,0,0,0,518,5.3,4.5,1.4,46.2,5.6,71.6,46.2,10.9,17.7,64.75,1
264,Michael Cooper,/players/c/coopemi01.html,1979,1990,GF,11,196,77,1956-04-15,0,0,8,0,873,8.9,3.2,4.2,46.9,34.0,83.3,50.2,12.8,52.5,79.36363636363636,1
265,Wayne Cooper,/players/c/coopewa01.html,1979,1992,CF,13,208,99,1956-11-16,0,0,0,0,984,7.9,6.2,0.9,45.7,14.6,73.6,45.7,13.4,36.9,75.6923076923077,1
266,Tyrone Corbin,/players/c/corbity01.html,1986,2001,GF,15,198,95,1962-12-31,0,0,0,0,1065,9.2,4.7,1.8,45.6,29.9,79.1,46.8,13.1,56.5,71.0,1
267,Dave Corzine,/players/c/corzida01.html,1979,1991,C,12,211,113,1956-04-25,0,0,0,0,891,8.5,5.9,1.7,48.4,18.9,74.7,48.5,13.6,37.3,74.25,1
271,Dave Cowens,/players/c/cowenda01.html,1971,1983,CF,12,206,104,1948-10-25,8,3,3,Hall of Fame,766,17.6,13.6,3.8,46.0,7.1,78.3,46.0,17.0,86.3,63.833333333333336,1
272,Chris Crawford,/players/c/crawfch01.html,1998,2004,F,6,206,106,1975-05-13,0,0,0,0,252,6.6,2.2,0.6,43.7,34.7,82.4,46.2,12.9,6.5,42.0,0
273,Charlie Criss,/players/c/crissch01.html,1978,1985,G,7,173,74,1948-11-06,0,0,0,0,418,8.5,1.4,3.2,43.2,17.9,83.1,43.5,12.8,13.7,59.714285714285715,0
274,Geoff Crompton,/players/c/crompge01.html,1979,1984,C,5,211,127,1955-07-04,0,0,0,0,82,1.2,1.7,0.3,37.0,-,44.2,37.0,5.6,-0.1,16.4,0
275,Austin Croshere,/players/c/croshau01.html,1998,2009,F,11,206,106,1975-05-01,0,0,0,0,659,6.8,4.0,1.0,40.7,34.0,86.1,46.6,14.3,27.6,59.90909090909091,0
276,John Crotty,/players/c/crottjo01.html,1993,2003,G,10,185,83,1969-07-15,0,0,0,0,477,4.0,1.1,2.1,43.1,38.4,83.7,48.1,12.7,12.1,47.7,0
277,Pat Cummings,/players/c/cummipa01.html,1980,1991,FC,11,206,104,1956-07-11,0,0,0,0,683,9.6,5.6,1.2,49.7,0.0,73.7,49.7,13.3,22.6,62.09090909090909,1
278,Terry Cummings,/players/c/cummite01.html,1983,2000,F,17,206,99,1961-03-15,2,2,0,0,1183,16.4,7.3,1.9,48.4,29.5,70.6,48.5,18.3,91.1,69.58823529411765,1
279,Billy Cunningham,/players/c/cunnibi01.html,1966,1976,FC,10,198,95,1943-06-03,5,4,0,Hall of Fame,770,21.2,10.4,4.3,45.2,26.3,73.0,45.2,20.0,78.6,77.0,1
281,Earl Cureton,/players/c/curetea01.html,1981,1997,FC,16,206,95,1957-09-03,0,0,0,0,674,5.4,4.7,1.0,47.3,0.0,53.8,47.3,10.4,14.4,42.125,0
282,Bill Curley,/players/c/curlebi01.html,1995,2001,F,6,206,99,1972-05-29,0,0,0,0,147,2.7,2.0,0.4,44.4,22.2,74.3,44.6,8.2,1.6,24.5,0
283,Dell Curry,/players/c/curryde01.html,1987,2002,G,15,193,86,1964-06-25,0,0,0,0,1083,11.7,2.4,1.8,45.7,40.2,84.3,51.3,16.0,41.5,72.2,1
284,Eddy Curry,/players/c/curryed01.html,2002,2013,C,11,213,133,1982-12-05,0,0,0,0,527,12.9,5.2,0.5,54.5,100.0,64.2,54.5,15.9,21.7,47.90909090909091,0
285,Michael Curry,/players/c/currymi01.html,1994,2005,FG,11,196,95,1968-08-22,0,0,0,0,667,4.5,1.6,1.2,44.7,29.8,82.5,46.3,7.5,17.8,60.63636363636363,0
286,Quintin Dailey,/players/d/dailequ01.html,1983,1992,G,9,190,81,1961-01-22,0,0,0,0,528,14.1,2.5,2.3,45.4,15.8,77.9,45.6,15.1,12.7,58.666666666666664,0
287,Samuel Dalembert,/players/d/dalemsa01.html,2002,2015,C,13,211,115,1981-05-10,0,0,0,0,886,7.7,7.8,0.5,52.1,8.3,70.6,52.1,15.4,51.3,68.15384615384616,1
288,Erick Dampier,/players/d/dampier01.html,1997,2012,C,15,211,120,1975-07-14,0,0,0,0,987,7.4,7.1,0.8,49.8,12.5,62.6,49.8,14.3,52.7,65.8,1
289,Louie Dampier,/players/d/dampilo01.html,1968,1979,G,11,183,77,1944-11-20,7,0,0,Hall of Fame,960,15.9,2.6,4.9,44.4,35.8,82.0,47.4,15.2,74.1,87.27272727272727,1
290,Bob Dandridge,/players/d/dandrbo01.html,1970,1982,FG,12,198,88,1947-11-15,4,0,0,0,839,18.5,6.8,3.4,48.4,16.7,78.0,48.4,16.7,80.3,69.91666666666667,1
291,Antonio Daniels,/players/d/daniean01.html,1998,2011,G,13,193,88,1975-03-19,0,0,0,0,872,7.6,1.8,3.4,44.4,31.1,79.3,47.9,14.6,47.0,67.07692307692308,1
292,Lloyd Daniels,/players/d/daniell01.html,1993,1998,G,5,201,92,1967-09-04,0,0,0,0,200,7.1,2.2,1.6,40.3,31.6,74.3,45.8,11.5,3.3,40.0,0
293,Marquis Daniels,/players/d/daniema01.html,2004,2013,GF,9,198,90,1981-01-07,0,0,0,0,548,7.9,2.8,1.8,45.1,23.5,72.1,46.4,12.9,16.5,60.888888888888886,0
294,Mel Daniels,/players/d/danieme01.html,1968,1977,C,9,206,99,1944-07-20,7,0,0,Hall of Fame,639,18.4,14.9,1.8,46.8,8.8,65.7,46.8,20.1,64.8,71.0,1
295,Adrian Dantley,/players/d/dantlad01.html,1977,1991,FG,14,196,94,1955-02-28,6,2,0,Hall of Fame,955,24.3,5.7,3.0,54.0,17.1,81.8,54.0,21.5,134.2,68.21428571428571,1
296,Brad Daugherty,/players/d/daughbr01.html,1987,1994,C,7,213,111,1965-10-19,5,0,0,0,548,19.0,9.5,3.7,53.2,14.3,74.7,53.2,18.9,65.2,78.28571428571429,1
298,Antonio Davis,/players/d/davisan01.html,1994,2006,FC,12,206,97,1968-10-31,1,0,0,0,903,10.0,7.5,1.1,44.8,8.7,72.7,44.8,14.1,59.6,75.25,1
299,Baron Davis,/players/d/davisba01.html,2000,2012,G,12,190,94,1979-04-13,2,0,0,0,835,16.1,3.8,7.2,40.9,32.0,71.1,46.5,17.8,63.1,69.58333333333333,1
300,Brad Davis,/players/d/davisbr01.html,1978,1992,G,14,190,81,1955-12-17,0,0,0,0,961,8.2,1.8,4.9,51.0,32.1,82.8,53.4,14.7,53.6,68.64285714285714,1
301,Charles Davis,/players/d/davisch02.html,1982,1990,F,8,201,97,1958-10-05,0,0,0,0,415,5.3,2.4,0.7,45.1,17.0,73.7,45.5,11.6,5.8,51.875,0
302,Dale Davis,/players/d/davisda01.html,1992,2007,FC,15,211,104,1969-03-25,1,0,0,0,1094,8.0,7.9,0.9,53.0,0.0,56.2,53.0,15.2,86.9,72.93333333333334,1
303,Emanual Davis,/players/d/davisem01.html,1997,2003,G,6,193,88,1968-08-27,0,0,0,0,226,4.9,1.9,1.8,39.4,35.2,78.7,47.1,9.6,2.5,37.666666666666664,0
304,Glen Davis,/players/d/davisgl01.html,2008,2015,FC,7,206,131,1986-01-01,0,0,0,0,514,8.0,4.4,0.9,44.7,18.2,70.0,44.8,12.4,18.6,73.42857142857143,1
305,Hubert Davis,/players/d/davishu01.html,1993,2004,G,11,196,83,1970-05-17,0,0,0,0,685,8.2,1.5,1.7,45.8,44.1,83.7,53.7,11.8,27.7,62.27272727272727,1
307,Johnny Davis,/players/d/davisjo01.html,1977,1986,G,9,188,77,1955-10-21,0,0,0,0,750,12.9,2.0,4.5,44.8,17.6,82.1,45.0,14.3,38.5,83.33333333333333,1
308,Josh Davis,/players/d/davisjo02.html,2004,2012,F,8,203,106,1980-08-10,0,0,0,0,67,2.3,1.7,0.3,37.3,32.9,72.4,45.0,11.0,0.8,8.375,0
309,Lee Davis,/players/d/davisle01.html,1969,1976,CF,7,203,106,1945-10-11,0,0,0,0,453,7.8,4.8,1.0,48.2,18.9,60.7,48.4,15.0,12.7,64.71428571428571,1
310,Mickey Davis,/players/d/davismi02.html,1972,1977,FG,5,201,88,1950-06-16,0,0,0,0,309,5.0,2.7,1.0,45.5,0.0,83.5,45.5,13.9,8.8,61.8,1
311,Ricky Davis,/players/d/davisri01.html,1999,2010,G,11,198,88,1979-09-23,0,0,0,0,736,13.5,3.5,3.3,44.6,36.1,78.1,48.0,14.7,28.0,66.9090909090909,1
312,Ron Davis,/players/d/davisro01.html,1977,1982,GF,5,198,89,1954-05-01,0,0,0,0,78,5.3,1.8,0.7,42.0,25.0,57.1,42.2,10.7,0.1,15.6,0
313,Terry Davis,/players/d/daviste01.html,1990,2001,FC,11,206,102,1967-06-17,0,0,0,0,480,6.4,6.0,0.6,47.2,15.8,60.5,47.3,10.9,12.1,43.63636363636363,0
314,Walter Davis,/players/d/daviswa03.html,1978,1992,GF,14,198,87,1954-09-09,6,2,0,0,1033,18.9,3.0,3.8,51.1,27.2,85.1,51.6,19.1,76.9,73.78571428571429,1
315,Warren Davis,/players/d/daviswa02.html,1968,1973,FC,5,198,96,1943-06-30,2,0,0,0,447,12.2,9.2,2.1,48.0,12.5,69.1,48.0,15.4,29.5,89.4,1
316,Darryl Dawkins,/players/d/dawkida01.html,1976,1989,C,13,211,113,1957-01-11,0,0,0,0,726,12.0,6.1,1.3,57.2,13.3,68.5,57.2,15.8,46.4,55.84615384615385,0
317,Johnny Dawkins,/players/d/dawkijo01.html,1987,1995,G,8,188,74,1963-09-28,0,0,0,0,541,11.1,2.5,5.5,45.6,33.0,85.7,47.4,14.7,21.8,67.625,1
318,Todd Day,/players/d/dayto01.html,1993,2001,GF,8,198,85,1970-01-07,0,0,0,0,483,12.3,3.4,1.5,40.6,34.5,73.9,46.2,14.1,17.5,60.375,0
319,Austin Daye,/players/d/dayeau01.html,2010,2015,F,5,211,99,1988-06-05,0,0,0,0,293,5.2,2.6,0.7,40.2,35.1,77.8,46.9,11.6,4.5,58.6,0
321,Andrew DeClercq,/players/d/declean01.html,1996,2005,FC,9,208,104,1973-02-01,0,0,0,0,587,4.8,4.2,0.6,50.7,0.0,62.1,50.7,12.1,19.3,65.22222222222223,1
322,Terry Dehere,/players/d/deherte01.html,1994,1999,G,5,188,86,1971-09-12,0,0,0,0,402,8.0,1.5,2.6,41.1,37.8,77.9,47.3,12.7,7.3,80.4,1
323,Vinny Del Negro,/players/d/delnevi01.html,1989,2002,G,13,193,83,1966-08-09,0,0,0,0,771,9.1,2.3,3.2,47.5,35.9,84.0,49.5,13.5,40.6,59.30769230769231,0
